TACODE,TANAME,TAVERSION,NUMBER OF ALL ADDRESSES,NUMBER OF FULLY REGISTERED PROPERTIES,NUMBER OF EDW PROPERTIES,PROPS POTENTIALLY WARNED
061FWF03SwdnRay,River Ray from the A3102 road to and including the sewage works,6,76,19,24,43
061FWF03Swnbrn,"River Swin Bourne in the Even Swindon, West Kingshill and Westleaze areas in Swindon",9,43,15,21,36
061FWF04ACrucis,Ampney Brook from Ampney Crucis to Sheeppen Bridge,2,,,,
061FWF06Bibury,River Coln from Fossebridge to Quennington,2,,,,
061FWF06Fairford,River Coln at Fairford,3,183,133,36,169
061FWF06Whelford,River Coln for Cotswold Water Park and Whelford,3,198,22,49,71
061FWF07ColeRurl,River Cole from A419 and A420 roads in Swindon to above Upper Inglesham,7,18,14,0,14
061FWF07DorcanBk,"Dorcan Brook in the Dorcan, Eldene and Coate areas in Swindon",7,889,331,459,790
061FWF07SthMrstn,South Marston Brook at South Marston,1,60,11,40,51
061FWF07SwdnCole,River Cole for the Covingham and Lower Stratton areas in Swindon,5,417,142,201,343
061FWF08Leach,River Leach from just below Southrop to Mill Lane near Lechlade,3,12,5,0,5
061FWF10Asthall,"River Windrush at Asthall, Minster Lovell and Crawley",6,,,,
061FWF10Bourton,River Windrush at Bourton on the Water,7,321,57,159,216
061FWF10Dikler,River Dikler between Stow on the Wold and Bourton on the Water,6,23,8,6,14
061FWF10Rackend,River Windrush at Rack End and Standlake including Northmoor and Newbridge,7,206,72,75,147
061FWF10Witney,River Windrush at Witney and Ducklington,10,1406,291,738,1029
061FWF12Cassngtn,River Evenlode at Eynsham Mill down to and including Cassington Mill near Cassington,6,27,4,5,9
061FWF12Glyme,River Glyme at Woodstock,4,,,,
061FWF12Moreton,River Evenlode at Moreton in Marsh,5,340,89,160,249
061FWF12ShipAsct,"River Evenlode at Milton under Wychwood, Shipton under Wychwood and Ascott under Wychwood",8,116,50,44,94
061FWF14BanFAS,River Cherwell at Banbury,4,459,75,224,299
061FWF14Bicester,The Bure and Back Brook at Bicester,1,270,18,156,174
061FWF14CherOxfd,River Cherwell for the Oxford area,4,131,26,67,93
061FWF14GrimFAS,Grimsbury area benefiting from Moorfield Brook pumping station,8,625,75,422,497
061FWF14Islip,River Ray for Islip,3,38,17,14,31
061FWF14KIDFAS,Area of Kidlington benefiting from the Flood Alleviation scheme,6,436,170,217,387
061FWF14KSutton,River Cherwell from below Banbury to just above Upper Heyford,4,124,32,52,84
061FWF14LHeyford,River Cherwell from Lower Heyford down to Cherwell Bridge,5,109,38,45,83
061FWF14LangfdBk,Langford Village and other areas of Bicester on the Langford Brook,3,295,25,161,186
061FWF14Murcott,River Ray from the Heath Bridge area to and including the Otmoor Basin,2,35,12,14,26
061FWF14SorBlox,Sor Brook at Bodicote and Adderbury and The Bloxham Brook,3,75,20,38,58
061FWF14WendleBk,Wendlebury village on the Wendlebury Brook,3,81,38,39,77
061FWF14WfrdHlse,River Cherwell from Charwelton to above Banbury,3,39,9,17,26
061FWF17AbgdnOck,River Ock at Abingdon and Caldecott,7,1724,418,987,1405
061FWF17Letcombe,Letcombe Brook at Letcombe Bassett and Letcombe Regis,5,32,4,25,29
061FWF17Stanford,"River Ock at Longcot, Stanford in the Vale, Charney Bassett, Lyford and Garford",8,57,21,26,47
061FWF17WntgGrve,"Letcombe Brook at Wantage, Grove and East Hanney",7,477,102,279,381
061FWF17XAbngOck,Properties closest to the River Ock from Tesco to St. Helen's Wharf,5,276,150,88,238
061FWF19Aylesbry,"Bear Brook and tributaries, from Broughton to Haydon Mill Farm in Coldharbour, Aylesbury",9,2066,156,1245,1401
061FWF19Chlgrove,Chalgrove Brook at Chalgrove and Stadhampton,4,142,36,71,107
061FWF19Dorchstr,River Thame at Dorchester,6,54,19,20,39
061FWF19DraytnSL,River Thame from Chiselhampton to Drayton St Leonard,6,17,4,11,15
061FWF19PRisbrgh,Horsenden Stream at Princes Risborough,2,103,5,63,68
061FWF19Rowsham,River Thame from Long Marston to North Aylesbury,10,107,17,77,94
061FWF19Sthcourt,"Bear Brook and tributaries, from Walton Court in the Ellen Road area down to St Marys School",10,1091,77,827,904
061FWF19Thame,River Thame from North Aylesbury to Chiselhampton,7,184,14,114,128
061FWF19WestnTvl,Bear Brook and tributaries at Wendover and Weston Turville,9,212,26,129,155
061FWF21Buklebry,River Pang at Bucklebury,4,25,16,0,16
061FWF21FrSDBrad,"River Pang for Frilsham, Stanford Dingley and Bradfield",4,39,21,11,32
061FWF21Pangbrne,River Pang at Pangbourne,5,132,74,32,106
061FWF21SlPngFAS,"Briars Close, Pangbourne benefiting from the Flood Alleviation Scheme",6,33,27,0,27
061FWF21Sulham,Sulham Brook for Sulham,4,15,11,0,11
061FWF21SulmPang,Sulham Brook at Pangbourne,4,178,110,48,158
061FWF21Theale,Sulham Brook for Theale,3,14,8,0,8
061FWF21Tidmarsh,River Pang at Tidmarsh,5,,,,
061FWF22Denford,River Kennet from Denford down to Marsh Benham,4,28,6,19,25
061FWF22Enborne,River Enborne from Gore End down to Aldermaston,4,32,3,22,25
061FWF22FoudryBk,Foudry Brook from Stratfield Mortimer to Green Park,6,296,20,144,164
061FWF22Hungerfd,River Kennet and its tributaries at Hungerford,5,54,2,32,34
061FWF22LowLamb,River Lambourn from Donnington to Newbury,6,819,107,484,591
061FWF22LowerOg,River Og at Southend and Ogbourne St. Andrew,4,,,,
061FWF22Marlboro,River Kennet at Marlborough,4,325,114,142,256
061FWF22MidLamb,River Lambourn from Weston to Bagnor including Boxford,3,17,11,0,11
061FWF22Newbury,River Kennet at Newbury,6,2723,313,1563,1876
061FWF22Ramsbury,River Kennet from Mildenhall to just above Hungerford,4,18,6,9,15
061FWF22Thatcham,River Kennet for Thatcham and Colthrop,5,370,68,204,272
061FWF22ThealRdg,River Kennet from Theale down to Reading,9,1724,154,797,951
061FWF22UpLamGSh,River Lambourn from Upper Lambourn to Great Shefford,7,77,37,34,71
061FWF22WMonkton,River Kennet from Berwick Bassett to Fyfield,4,,,,
061FWF22XThlRdg,"Properties closest to the River Kennet at the Burghfield, Southcote, Coley and Holybrook areas",6,53,17,22,39
061FWF23Abingdon,River Thames in Abingdon,7,542,154,305,459
061FWF23BnsyOsny,"River Thames and tributaries in the Binsey, Osney and Osney Island areas in Oxford",10,787,497,201,698
061FWF23BrneEnd,River Thames at Bourne End,8,521,316,165,481
061FWF23Buscot,River Thames from Buscot Wick down to Shifford,4,121,80,24,104
061FWF23CalcLech,River Thames from Calcutt to Lechlade including Hannington Wick,2,262,89,124,213
061FWF23CartBamp,Shill Brook at Carterton and Bampton,5,131,61,44,105
061FWF23Chertsey,River Thames at Chertsey,7,949,480,359,839
061FWF23ClfntoWt,"River Thames at Clifton Hampden, Dorchester and Little Wittenham",7,45,21,11,32
061FWF23Clnfld,Clanfield Brook for Clanfield Village,5,30,23,0,23
061FWF23Cookham,River Thames at Cookham,7,462,207,182,389
061FWF23Culham,River Thames at Culham,5,50,34,7,41
061FWF23Datchet,River Thames at Datchet,8,2079,988,840,1828
061FWF23Ewen,River Thames at Ewen,2,,,,
061FWF23EwlmBens,Ewelme Stream at Ewelme and Benson,3,57,7,42,49
061FWF23Goring,River Thames at Goring and Streatley,5,215,65,111,176
061FWF23HammCrt,River Thames at Hamm Court,6,188,156,23,179
061FWF23Hampton,River Thames at Hampton and Hampton Wick,8,395,88,194,282
061FWF23HenMed,"River Thames for Henley, Remenham, and Medmenham",5,733,401,216,617
061FWF23Horton,River Thames at Horton,6,27,14,4,18
061FWF23Hurley,River Thames at Hurley and Harleyford,7,406,262,97,359
061FWF23Keningtn,River Thames and tributaries at Kennington,8,43,15,21,36
061FWF23Key,River Key from the Bentham area to Cricklade including Purton Stoke,2,22,4,11,15
061FWF23Kingston,River Thames at Kingston-upon-Thames,7,3758,691,1990,2681
061FWF23LHalifrd,River Thames at Shepperton and Lower Halliford,8,650,256,318,574
061FWF23Laleham,River Thames at Laleham,8,703,359,247,606
061FWF23MMeysey,Marston Meysey Brook for Marston Meysey,2,,,,
061FWF23Marlow,River Thames at Bisham village and Marlow town,9,1479,418,746,1164
061FWF23Mdnhead,River Thames at Maidenhead to Windsor and Eton,9,12817,2319,7664,9983
061FWF23MillBk,Mill Brook from the Hagbourne Mill area to Winterbrook,3,,,,
061FWF23Molesey,River Thames at East and West Molesey,8,1935,1186,601,1787
061FWF23NwBotley,"River Thames and tributaries at New Botley, New Hinksey, North Hinksey, South Hinksey and Grandpont",9,3484,1864,1135,2999
061FWF23Nwbrdg,River Thames between Newbridge and Kings Lock above Oxford,6,183,108,40,148
061FWF23OldWndsr,River Thames at Old Windsor,7,1632,940,523,1463
061FWF23PngWitch,River Thames at Pangbourne and Whitchurch,6,146,94,35,129
061FWF23Purley,River Thames at Purley Village,7,435,304,98,402
061FWF23ReadCav,River Thames at Reading and Caversham,9,5460,1881,2311,4192
061FWF23SKCrkld,River Thames from Somerford Keynes to Cricklade,4,383,104,182,286
061FWF23Sandford,River Thames and tributaries at Sandford and Radley near Oxford,7,102,65,22,87
061FWF23ShepGrn,River Thames at Shepperton Green,8,678,138,455,593
061FWF23ShipWar,"River Thames for Shiplake, Lower Shiplake and Wargrave",6,354,221,121,342
061FWF23Sonning,"River Thames in the Playhatch, Sonning and Sonning Eye area",8,67,53,11,64
061FWF23Staines,River Thames at Staines and Egham,12,11661,5814,4268,10082
061FWF23StertAb,River Stert at Abingdon,5,567,101,297,398
061FWF23Stevnton,"Ginge Brook between Steventon and Sutton Courtenay, including Milton and Drayton Mill areas",9,408,147,205,352
061FWF23Sunbury,River Thames at Sunbury,9,354,209,115,324
061FWF23SwillBk,Swill Brook below Oaksey,3,79,6,30,36
061FWF23Teddngtn,River Thames at Teddington,9,1564,353,898,1251
061FWF23ThDitton,River Thames at Thames Ditton,7,886,386,387,773
061FWF23Wallngfd,River Thames from Days Lock down to South Stoke,6,771,195,393,588
061FWF23Walton,River Thames at Walton,7,101,67,25,92
061FWF23Wlvrcote,River Thames and tributaries at Wolvercote in Oxford,10,212,55,97,152
061FWF23Wraysbry,River Thames at Wraysbury,9,1045,651,275,926
061FWF23XDatcht,Properties closest to the River Thames at Datchet from Black Potts Bridge to Albert Bridge,4,16,11,0,11
061FWF23XKngstn,Properties closest to the River Thames from Raven's Ait to Teddington Weir,4,64,33,21,54
061FWF23XLHalif,Properties closest to the River Thames from Shepperton Lock to Beasley's Ait,4,320,277,40,317
061FWF23XMarlow,"Properties closest to the River Thames from All Saints Church, Bisham to Little Marlow",4,254,187,56,243
061FWF23XMhead,"Moorings and properties closest to the River Thames between Maidenhead, Windsor and Eton",5,122,26,51,77
061FWF23XMolsey,Properties closest to the River Thames from Platts Eyot to Hampton Court Bridge,3,129,63,39,102
061FWF23XOldWnd,"Properties closest to the River Thames at Old Windsor, from Friday Island to Magna Carta Island",4,35,19,8,27
061FWF23XReadCav,"Properties closest to the River Thames from Scours Lane, Reading to Caversham Lakes",3,625,376,188,564
061FWF23XShepG,"Properties closest to the River Thames from Littleton Lane, Shepperton Green to Shepperton Lock",6,210,145,38,183
061FWF23XStaines,"Properties closest to the River Thames from Runnymede Pleasure Grounds, Staines to Penton Hook",3,435,311,88,399
061FWF23XSunbry,Properties closest to the River Thames at Sunbury,5,232,193,34,227
061FWF23XWrysbry,Properties closest to the River Thames at Wraysbury from Old Windsor Weir to Magna Carta Island,6,243,200,25,225
061FWF24Aldersht,River Blackwater at Aldershot and Farnborough,7,2170,291,1442,1733
061FWF24Arborfld,River Loddon at Arborfield and Shinfield,5,,,,
061FWF24BadshLea,River Blackwater at Badshot Lea,1,376,17,274,291
061FWF24Camberly,River Blackwater at Camberley and Sandhurst,5,571,32,378,410
061FWF24Chineham,Pettys Brook at Chineham,6,244,80,130,210
061FWF24Cove,Cove Brook at Farnborough,7,805,90,627,717
061FWF24Crondall,River Hart at Crondall,1,130,51,56,107
061FWF24Crookham,"River Hart at Crookham Village, Hartley Wintney and Riseley",6,33,15,13,28
061FWF24Eversley,River Blackwater at Eversley and Bramshill,7,30,10,15,25
061FWF24Fleet,The Fleet Brook and Pinegrove Stream at Fleet,1,1804,191,1248,1439
061FWF24LEarley,River Loddon at Lower Earley and Sindlesham,5,444,293,122,415
061FWF24NWrnbrgh,"River Whitewater at North Warnborough, Hook and Riseley",6,67,20,34,54
061FWF24OldBasng,River Loddon at Old Basing,6,60,23,27,50
061FWF24Sherfld,River Loddon at Sherfield-on-Loddon,6,,,,
061FWF24SthWkngm,The Queen's Brook South of Wokingham,1,118,3,71,74
061FWF24Swllowfd,River Loddon and River Blackwater at Swallowfield,5,114,38,50,88
061FWF24Twyford,"River Loddon at Twyford, Charvil and Wargrave",5,502,317,153,470
061FWF24WestHth,"Cove Brook at West Heath, Farnborough",3,535,34,422,456
061FWF24Winnersh,River Loddon at Winnersh and Woodley,6,514,284,167,451
061FWF24Wokinghm,Emm Brook at Wokingham,5,621,223,306,529
061FWF25Hghenden,Hughenden Stream from Hughenden Park to the confluence with The River Wye,4,422,10,227,237
061FWF25Wycombe,River Wye from West Wycombe down to Bourne End,6,1632,229,893,1122
061FWF26Binghams,Cut at the Binghams,7,211,19,144,163
061FWF26Paley,"Cut at Ryehurst Lane, Westley Mill and Paley Street",6,19,9,2,11
061FWF26ThreeLeg,Cut from Three Legged Cross to Binfield Manor,5,215,35,118,153
061FWF29Addstne,Addlestone Bourne at Addlestone,7,1126,536,441,977
061FWF29Bagshot,Windle Brook at Bagshot,7,318,124,116,240
061FWF29Chertsey,Chertsey Bourne at Chertsey,10,2203,1162,710,1872
061FWF29Chobham,Hale Bourne and Addlestone Bourne at Chobham,7,199,84,78,162
061FWF29EmmMill,Mill Bourne at Emmetts Mill,5,,,,
061FWF29M3J3,Hale Bourne from the M3 to Clappers Lane,7,23,9,9,18
061FWF29ThorpGrn,Chertsey Bourne at Thorpe Green,6,80,44,28,72
061FWF29Woodham,Addlestone Bourne at Woodham,6,50,20,22,42
061FWF29XAddstne,Properties closest to the Addlestone Bourne at Addlestone,3,75,45,14,59
061FWF29XChrtsy,Areas of Chertsey closest to the Chertsey Bourne,4,186,103,62,165
061FWF30Alton,River Wey at Alton,5,126,28,61,89
061FWF30Bramley,Cranleigh Waters at Bramley,6,31,16,10,26
061FWF30Byfleet,River Wey at Wisley and Byfleet,11,2649,836,1345,2181
061FWF30Chilwrth,Tillingbourne at Chilworth and Shalford,5,22,18,0,18
061FWF30Cranlgh,Littlemead Brook at Cranleigh,6,240,9,159,168
061FWF30Eashing,River Wey at Elstead and Eashing,7,44,24,19,43
061FWF30Farnham,River Wey at Farnham,7,918,407,322,729
061FWF30Gford,River Wey at Guildford,9,1235,454,471,925
061FWF30Godalmg,"River Wey at Godalming, Peasmarsh and Shalford",8,789,346,274,620
061FWF30HoeFAS,The area of Woking benefiting from the Hoe Stream Flood Alleviation Scheme,4,69,20,38,58
061FWF30NrCrnlgh,Cranleigh Waters near Cranleigh and Shamley Green,7,96,27,38,65
061FWF30OldWking,River Wey at Old Woking,9,594,163,329,492
061FWF30Pirbrght,Hodge Brook at Pirbright,2,57,6,43,49
061FWF30RiveDtch,The Rive Ditch at Woodham,1,1207,154,803,957
061FWF30SWey,"River Wey at Passfield Mill Business Park, Standford, Frensham and Millbridge",7,45,8,19,27
061FWF30Send,East Clandon Stream at Send,9,107,55,46,101
061FWF30Tilford,River Wey at Tilford,6,15,5,0,5
061FWF30Weybrdge,River Wey at Weybridge,7,473,255,183,438
061FWF30Woking,Hoe Stream at Woking,10,138,59,66,125
061FWF30XByfleet,Properties closest to the River Wey between Walsham Meadow and Byfleet town,5,147,115,26,141
061WAB23DitIslnd,River Thames at Thames Ditton Island,1,49,47,0,22
061WAB23Trowlock,River Thames at Trowlock Island,1,31,30,0,18
061WAF02Churn,River Churn and its tributaries,5,1515,418,0,117
061WAF03RayWilts,River Ray and Swinbourne for West Swindon area to above Water Eaton,10,1327,88,0,61
061WAF04AmpneyBk,Ampney Brook from Barnsley Wood to Sheeppen Bridge,3,,,,
061WAF06Coln,River Coln and its tributaries,5,527,172,0,37
061WAF07Cole,"River Cole, Dorcan Brook and South Marston Brook",9,1428,500,0,81
061WAF08Leach,River Leach from Northleach to Mill Lane near Lechlade,3,118,8,0,7
061WAF10Dikler,River Dikler from Condicote to Little Rissington,5,54,23,0,19
061WAF10Windrush,River Windrush from Bourton to Newbridge,10,2277,481,0,297
061WAF12Evenlode,River Evenlode from Moreton in Marsh to Cassington and also the River Glyme at Wootton and Woodstock,9,663,185,0,123
061WAF14LChrwell,River Cherwell from Lower Heyford down to and including Oxford,4,759,247,0,67
061WAF14LfdWenBk,Langford and Wendlebury Brooks from Stratton Audley down to near Merton,2,560,79,0,66
061WAF14RayOxon,River Ray and its tributaries from Shipton Lee to and including Islip,4,148,45,0,30
061WAF14SorBlox,Sor Brook and The Bloxham Brook and their tributaries,3,83,21,0,14
061WAF14UChrwell,River Cherwell from Charwelton to just above Upper Heyford,6,1300,201,0,91
061WAF17Ock,"River Ock from Watchfield to Abingdon, and also the Letcombe Brook at Wantage, Grove and East Hanney",10,2708,703,0,404
061WAF19BearBrk,"Bear Brook and tributaries in the Aylesbury area, including Wendover and Weston Turville",12,3442,261,0,129
061WAF19Thame,"River Thame, Horsenden Stream and Chalgrove Brook",15,1505,147,0,120
061WAF21PangSulm,River Pang from East Ilsley to Pangbourne and Sulham Brook,5,622,297,0,112
061WAF22EnbnFdry,River Enborne and Foudry Brook,5,445,28,0,20
061WAF22Lambourn,River Lambourn and its tributaries from Upper Lambourn down to Newbury,9,980,184,0,130
061WAF22LowerKen,River Kennet from Thatcham down to Reading,6,2373,248,0,186
061WAF22UpperKen,River Kennet and its tributaries from Berwick Bassett down to Newbury,8,3292,455,0,276
061WAF23Abingdon,River Thames for the Abingdon area,7,593,216,0,123
061WAF23BsctKngs,River Thames and tributaries from Buscot Wick down to Kings Lock,8,433,209,0,81
061WAF23CalcLech,River Thames and its small tributaries from Calcutt to Lechlade,2,340,122,0,79
061WAF23Datchet,River Thames from Datchet to Shepperton Green,12,19858,10076,0,3245
061WAF23EwnCrkld,River Thames from Ewen down to and including Cricklade,4,382,106,0,29
061WAF23Ginge,Ginge Brook,8,1035,164,0,72
061WAF23Hampton,River Thames from Hampton and Thames Ditton to Teddington,11,6986,1575,0,589
061WAF23HenMed,"River Thames for Henley, Remenham, Medmenham and its tributaries",7,966,429,0,129
061WAF23Hurley,River Thames from Hurley to Cookham,7,3120,1390,0,563
061WAF23Mdnhead,River Thames from Maidenhead to Windsor and Eton,8,13210,2354,0,1276
061WAF23Oxford,River Thames and tributaries in the Oxford area,11,7112,2674,0,844
061WAF23PrlyPang,River Thames from Pangbourne to Purley,6,541,378,0,128
061WAF23RdngSonn,River Thames from Mapledurham to Sonning,9,6152,2310,0,506
061WAF23Shepprtn,River Thames from Shepperton to Molesey,8,3908,2407,0,719
061WAF23ShipWar,"River Thames for Shiplake, Lower Shiplake and Wargrave",5,354,221,0,82
061WAF23Slough,Slough Watercourses,2,6619,59,0,57
061WAF23Stert,River Stert in Abingdon,5,551,100,0,55
061WAF23ThmsTrbs,Clanfield Brook for Clanfield Village and the Shill Brook for Bampton,6,168,86,0,50
061WAF23UpThTrbs,Tributaries on the Upper River Thames above Cricklade,4,259,47,0,41
061WAF23WallGor,River Thames and its tributaries from Days Lock to above Pangbourne,7,1151,287,0,153
061WAF24BlkWater,River Blackwater and The Cove Brook,11,6973,568,0,307
061WAF24EmmBrook,Emm Brook and Queen's Brook,6,918,230,0,67
061WAF24LLoddon,Lower River Loddon,7,1369,636,0,143
061WAF24Twyford,Lower River Loddon at the River Thames confluence at Twyford,5,502,316,0,106
061WAF24ULoddon,Upper River Loddon,8,1134,128,0,36
061WAF24WhtWater,River Whitewater and River Hart,8,2648,297,0,255
061WAF25Wye,River Wye and The Hughenden Stream,5,1991,239,0,92
061WAF26Cut,Cut,9,1931,88,0,41
061WAF29Addstne,"Windle Brook and Hale, Mill and Addlestone Bournes",7,1942,816,0,176
061WAF29Chertsey,Chertsey Bourne,9,3478,1417,0,357
061WAF30Cranlgh,Cranleigh Waters,8,845,61,0,25
061WAF30Hoestrm,Hoe Stream,8,356,93,0,45
061WAF30LowerWey,Lower River Wey,10,5727,1597,0,813
061WAF30Tilling,Tillingbourne,6,116,26,0,8
061WAF30UpperWey,Upper River Wey,8,3764,1312,0,288
062FAGCheshamGW,Groundwater flooding in Chesham,2,1273,37,0,37
062FAGFlamstdGW,Groundwater flooding in Flamstead,2,36,1,0,1
062FAGKimptonGW,Groundwater flooding in Kimpton and Lilley Bottom,2,226,42,0,42
062FWB36Islewort,Tidal River Crane at Isleworth,16,468,121,259,380
062FWB38Brentfd,Tidal River Brent at Brentford,8,1544,118,823,941
062FWB53TidalLee,Lower River Lee from West Ham and Canning Town,17,10172,453,4972,5425
062FWB55Dagenham,River Beam at Dagenham,14,2133,109,966,1075
062FWF28Amersham,River Misbourne at Amersham,16,247,42,113,155
062FWF28Boreham,Radlett and Borehamwood Brooks at Borehamwood,10,108,19,75,94
062FWF28Boxmoor,River Bulbourne at Boxmoor,18,20,0,12,12
062FWF28CHeath,River Colne at Colney Heath,18,26,11,9,20
062FWF28Chalfont,River Misbourne at The Chalfonts,18,319,55,173,228
062FWF28Chenies,River Chess at Chenies,16,31,2,22,24
062FWF28Chesham,River Chess at Chesham,14,365,32,209,241
062FWF28Colnbrk,Colne Brook at Colnbrook,18,2760,1366,1051,2417
062FWF28Eastcote,River Pinn at Eastcote Village,14,297,88,168,256
062FWF28Frogmore,River Gade at Frogmore End,19,646,44,365,409
062FWF28Hemel,River Gade at Hemel Hempstead,21,249,4,166,170
062FWF28Ickenham,River Pinn at Ickenham,16,306,92,184,276
062FWF28Iver,Colne Brook at Iver,19,21,9,9,18
062FWF28KingsLan,River Gade at Kings Langley and Croxley,20,304,12,199,211
062FWF28LColney,River Colne at London Colney,19,121,50,54,104
062FWF28Loudwatr,River Chess at Loudwater,18,768,169,381,550
062FWF28Markyate,River Ver at Markyate,19,205,30,130,160
062FWF28Pinner,River Pinn at Pinner,16,764,149,424,573
062FWF28Radlett,Radlett Brook at Radlett,20,214,41,117,158
062FWF28Redbourn,River Ver at Redbourn,19,35,10,12,22
062FWF28Rickmans,River Colne at Rickmansworth,21,1111,259,559,818
062FWF28Ruislip,River Pinn at Ruislip,17,312,151,132,283
062FWF28StAlbans,River Ver at St Albans,20,145,33,81,114
062FWF28Uxbridge,River Pinn at Uxbridge,15,301,11,210,221
062FWF28WDrayton,River Colne and Frays River at West Drayton and Stanwell Moor,21,1772,638,792,1430
062FWF28Warrengt,Mimmshall Brook at Warrengate Road,18,48,41,3,44
062FWF28Watford,River Colne at Watford,20,1274,148,809,957
062FWF28Willow,River Colne at Willowbank,21,2201,224,1379,1603
062FWF28Wridings,Woodridings Stream at Pinner Green,16,120,29,65,94
062FWF28Yiewsley,River Pinn at Yiewsley,16,480,44,314,358
062FWF31Ashford,River Ash at Ashford and Staines,19,10259,2560,5707,8267
062FWF36Cranford,River Crane at Cranford and Feltham,17,387,21,291,312
062FWF36Hilling,Yeading Brook at Hillingdon,18,1202,88,971,1059
062FWF36RManor,Yeading Brook West at Ruislip Manor,19,302,58,204,262
062FWF36SRuislip,Yeading Brook East at South Ruislip,17,539,165,294,459
062FWF36Southall,River Crane at Southall,15,48,2,9,11
062FWF36Twickham,River Crane at Twickenham,15,1178,252,746,998
062FWF38DeansBk,Deans Brook at Edgware,19,201,19,145,164
062FWF38DollisBk,Dollis Brook from Barnet to Hendon,22,255,31,175,206
062FWF38EdgwareB,Edgware Brook at Stanmore,21,1848,165,1263,1428
062FWF38Kenton,Kenton Brook at Kenton,2,148,24,111,135
062FWF38LBBarnet,River Brent in the London Borough of Barnet,21,417,34,263,297
062FWF38LBBrent,River Brent in the London Borough of Brent,22,2713,172,1880,2052
062FWF38LBEaling,River Brent in the London Boroughs of Ealing and Hounslow,25,1544,161,1009,1170
062FWF38MuttonBk,Mutton Brook at Hampstead Garden Suburb,19,78,7,56,63
062FWF38SilkStrm,Silk Stream at Edgware and Colindale,22,1895,213,1064,1277
062FWF38Wealdstn,Wealdstone Brook at Kenton,21,3000,329,1320,1649
062FWF46Harpendn,River Lee at Harpenden,20,328,174,114,288
062FWF46Hertford,River Lee at Hertford and Ware,21,4564,785,2511,3296
062FWF46Lemsford,River Lee from Lemsford to Hertford,18,390,133,181,314
062FWF46Luton,River Lee at Luton,20,1790,335,1105,1440
062FWF47Tewin,River Mimram from Tewin to Hertford,13,110,35,50,85
062FWF47Welwyn,River Mimram at Welwyn,14,65,5,42,47
062FWF47Whitwell,River Mimram at Whitwell,12,,,,
062FWF48BeanHert,River Beane at Hertford,15,673,203,328,531
062FWF48DaneEnd,Dane End tributary at Dane End,13,36,11,17,28
062FWF48Stevenag,Stevenage Brook at Stevenage,15,285,46,197,243
062FWF48Walkern,River Beane at Walkern,14,57,24,21,45
062FWF48Watton,River Beane at Watton-at-Stone to Waterford,14,247,88,116,204
062FWF49Braughing,River Quin at Braughing,14,15,1,7,8
062FWF49Buntingf,River Rib at Buntingford to Barwick,16,490,148,223,371
062FWF49Wadesmil,River Rib at Wadesmill to Hertford,15,97,30,55,85
062FWF50FurneuxP,River Ash at Furneux Pelham,14,46,17,21,38
062FWF50Hadhams,River Ash at The Hadhams,14,92,47,30,77
062FWF51Bishop,River Stort at Bishops Stortford,21,1338,166,745,911
062FWF51Claverin,River Stort at Clavering and Manuden,18,64,34,20,54
062FWF51Harlow,River Stort at Harlow,21,1234,163,519,682
062FWF51PinceyBk,Pincey Brook near Sheering,17,,,,
062FWF51Sawbridg,River Stort at Sawbridgeworth,20,332,43,205,248
062FWF51StnMtFit,Stansted Brook at Stansted Mountfitchet,22,,,,
062FWF53Ching,Ching Brook in the London Borough of Waltham Forest,16,1653,266,1066,1332
062FWF53Cobbins,Cobbins Brook at Waltham Abbey,17,487,86,284,370
062FWF53Enfield,Lower River Lee at Enfield,19,13190,1115,7652,8767
062FWF53Hackney,Lower River Lee at Hackney and Walthamstow,11,9527,998,6127,7125
062FWF53Hoddesdn,Lower River Lee at Hoddesdon and Cheshunt,19,1917,478,997,1475
062FWF53Nazeing,Nazeing Brook at Lower Nazeing,17,351,103,181,284
062FWF53PymmesA,Pymmes Brook at East Barnet,16,190,47,110,157
062FWF53PymmesB,Pymmes Brook from Bowes Park to Edmonton,15,1779,132,1359,1491
062FWF53PymmesC,Pymmes Brook at Upper Edmonton and Tottenham,16,10104,769,6380,7149
062FWF53RagsBk,Rags Brook at Flamstead End,16,363,30,247,277
062FWF53Salmons,Salmons Brook at Grange Park and Lower Edmonton,17,5431,515,3880,4395
062FWF53SmallLee,Small River Lee at Cheshunt,16,4136,549,2354,2903
062FWF53Stratfd,Lower River Lee at Stratford,11,13641,825,7111,7936
062FWF53Trinity,Trinity Marsh Ditch at Waltham Cross,20,1872,119,1377,1496
062FWF53Turkey,Turkey Brook at Enfield,18,102,14,74,88
062FWF54Abridge,River Roding at Abridge,13,103,39,44,83
062FWF54Barking,River Roding in Barking,17,6177,290,4724,5014
062FWF54ChipOngr,Cripsey Brook at Chipping Ongar,17,122,24,74,98
062FWF54Fyfield,River Roding at Fyfield including High Ongar Bridge,15,18,3,6,9
062FWF54Loughton,River Roding at Loughton,13,181,68,92,160
062FWF54Moreton,Cripsey Brook at Moreton,14,,,,
062FWF54Ongar,River Roding from Ongar to Stapleford,17,18,8,5,13
062FWF54Redbridg,River Roding in Redbridge,18,6011,1293,3679,4972
062FWF54SevenK,Loxford Water at Seven Kings,3,3044,645,1899,2544
062FWF55CollierR,River Rom at Collier Row,5,78,14,55,69
062FWF55Harold,River Ingrebourne at Harold Park,15,138,13,45,58
